Artículo;FP;articulo;Artículo Desc.;Deposito;Sector;Pasillo;Col;Nivel;Secuencia;Posición;Paleta;Lote;Tot.Uni.;Tot.Blts.;Sob.Unid.;U;U/B;Ingreso;Venc.;Est.;Mar.;Proveedor;Descripción Prov.
P116;1;;DOVE NUTRICION INTENSIVA cr.x400ml;1;100;CO01;45;3;A;CO01 -045-03A;104240;1;10;10;0;B;1;27/09/2019;01/11/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P145;1;;NEUTROGENAÿDEEPÿCLEANÿDESMAQUILLANT;1;100;CO01;41;3;B;CO01 -041-03B;;;0;0;0;B;1;/  /;01/12/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P147;1;;NEUTROGENAÿHANDÿCREAMÿFREEÿNORMALÿc;1;100;CO01;49;3;B;CO01 -049-03B;;;0;0;0;B;1;/  /;01/08/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P148;1;;NEUTROGENAÿHIDRAT.INTENSIVOÿCORPO.c;1;100;CO01;43;3;A;CO01 -043-03A;104242;1;25;25;0;B;1;27/09/2019;01/04/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P149;1;;NEUTROGENA LIMPIEZA toa.x25u;1;100;CO03;58;4;A;CO03 -058-04A;105099;1;144;144;0;B;1;08/10/2019;01/05/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P149;1;;NEUTROGENA LIMPIEZA toa.x25u;1;100;CO03;60;4;A;CO03 -060-04A;105102;1;144;144;0;B;1;08/10/2019;01/05/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P149;1;;NEUTROGENA LIMPIEZA toa.x25u;1;100;CO03;56;4;A;CO03 -056-04A;105101;1;133;133;0;B;1;08/10/2019;01/05/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P149;1;;NEUTROGENA LIMPIEZA toa.x25u;1;100;CO01;86;2;A;CO01 -086-02A;104506;1;47;47;0;B;1;30/09/2019;01/10/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P149;1;;NEUTROGENA LIMPIEZA toa.x25u;1;100;CO03;62;4;A;CO03 -062-04A;105100;1;144;144;0;B;1;08/10/2019;01/05/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P150;1;;NEUTROGENAÿNIGHTÿCALMINGÿDESMAQUILL;1;100;CO03;9;2;A;CO03 -009-02A;105258;1;108;108;0;B;1;09/10/2019;01/04/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P150;1;;NEUTROGENAÿNIGHTÿCALMINGÿDESMAQUILL;1;100;CO03;19;2;B;CO03 -019-02B;105259;1;108;108;0;B;1;09/10/2019;01/04/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P150;1;;NEUTROGENAÿNIGHTÿCALMINGÿDESMAQUILL;1;100;CO01;17;3;A;CO01 -017-03A;103846;1;92;92;0;B;1;25/09/2019;01/03/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P150;1;;NEUTROGENAÿNIGHTÿCALMINGÿDESMAQUILL;1;100;CO01;15;3;A;CO01 -015-03A;105257;1;83;83;0;B;1;09/10/2019;01/04/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P212;1;;ST.IVESÿCORPO.HUMECTANTEÿEXOTICÿNAT;1;100;CO01;65;3;A;CO01 -065-03A;;;0;0;0;B;1;/  /;01/05/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P214;1;;ST.IVESÿCORPO.HUMECTANTEÿREAFIRMANT;1;100;CO01;35;3;A;CO01 -035-03A;104243;1;16;16;0;B;1;27/09/2019;01/04/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P217;1;;ORAL-Bÿ3DÿWHITEÿLUXEÿCINTAÿBLANQUEA;1;100;CO01;6;3;A;CO01 -006-03A;104508;1;10;10;0;B;1;30/09/2019;01/03/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P220;1;;ORAL-B CLASSIC CEP.MED 40 x1u;1;100;CO02;9;3;C;CO02 -009-03C;105392;1;26;26;0;B;1;16/10/2019;11/11/2028;DO;;10335;
P221;1;;ORAL-B COMPLETE CEP. SOFT 40 3x2;1;100;CO01;86;3;A;CO01 -086-03A;105380;1;42;42;0;B;1;16/10/2019;01/01/2050;DO;;10335;
P222;1;;ORAL-B COMPLETE CEP.MED40 x1u;1;100;CO01;2;3;C;CO01 -002-03C;105401;1;19;19;0;B;1;16/10/2019;01/05/2050;DO;;10335;
P225;1;;ORAL-B KIDS SOFT CEP.x1u;1;100;CO01;2;3;B;CO01 -002-03B;104166;1;48;48;0;B;1;26/09/2019;01/05/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P227;1;;ORAL-BÿPROSALUDÿCEP.7BENEFICIOSÿSOF;1;100;CO01;8;3;A;CO01 -008-03A;105374;1;7;7;0;B;1;16/10/2019;01/01/2050;DO;;10335;
P230;1;;ORAL-BÿPROSALUDÿCEP.ANTIBACTERIALÿS;1;100;CO03;32;4;C;CO03 -032-04C;105928;1;0;0;0;B;1;18/10/2019;01/01/2050;DO;;10335;
P234;1;;ORAL-B PROSALUD POWER CEP.x1u (A PI;1;100;CO01;4;3;A;CO01 -004-03A;104174;1;41;41;0;B;1;26/09/2019;01/05/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P236;1;;ORAL-B STAGES 1 CEP x u;1;100;CO03;72;4;B;CO03 -072-04B;105545;1;30;30;0;B;1;16/10/2019;01/01/2050;DO;;10335;
P237;1;;ORAL-B STAGES 2 CEP x1u;1;100;CO03;82;4;B;CO03 -082-04B;105544;1;33;33;0;B;1;16/10/2019;01/01/2050;DO;;10335;
P239;1;;ORAL-B STAGES 4 CEP x1u;1;100;CO01;2;3;A;CO01 -002-03A;104082;1;12;12;0;B;1;26/09/2019;01/05/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P248;1;;PRO MULTIPLE ACCION SUAVE 40 CEP.2x;1;100;CO03;22;4;C;CO03 -022-04C;105382;1;6;6;0;B;1;16/10/2019;01/01/2050;DO;;10335;
P260;1;;LISTERINE ANTI SARRO enj.buc.x500ml;1;100;CO03;8;4;A;CO03 -008-04A;104920;1;0;0;0;B;1;07/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P261;1;;LISTERINE COOL 24HS 2XDIA enj.buc.x;1;100;CO01;22;3;B;CO01 -022-03B;;;0;0;0;B;1;/  /;01/06/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P262;1;;LISTERINE CUIDADO TOTAL enj.buc.x25;1;100;CO01;30;3;B;CO01 -030-03B;;;0;0;0;B;1;/  /;01/11/2020;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P263;1;;LISTERINE CUIDADO TOTAL enj.buc.x50;1;100;CO01;22;3;C;CO01 -022-03C;;;0;0;0;B;1;/  /;01/10/2020;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P264;1;;LISTERINEÿFRESHÿ24HSÿ2XDIAÿenj.buc.;1;100;CO03;38;4;A;CO03 -038-04A;104879;1;0;0;0;B;1;07/10/2019;01/05/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P265;1;;LISTERINE FRESH BURST enj.buc.x500m;1;100;CO03;18;4;A;CO03 -018-04A;104946;1;0;0;0;B;1;07/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P266;1;;LISTERINEÿPROTECCIONÿENCIASÿenj.buc;1;100;CO01;20;3;A;CO01 -020-03A;104927;1;18;18;0;B;1;07/10/2019;01/02/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P279;1;;ORAL-BÿPROSALUDÿs/ALCOHOLÿSABORÿMEN;1;100;CO01;14;3;A;CO01 -014-03A;;;0;0;0;B;1;/  /;01/04/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P280;1;;ORAL-BÿPROSALUDÿs/ALCOHOLÿSABORÿMEN;1;100;CO01;10;3;C;CO01 -010-03C;104169;1;17;17;0;B;1;26/09/2019;01/09/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P282;1;;ORAL-BÿWHITEÿBRILLIANTÿFRESHÿcr.den;1;100;CO01;12;3;A;CO01 -012-03A;104164;1;43;43;0;B;1;26/09/2019;01/10/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P283;1;;ORAL-BÿWHITEÿBRILLIANTÿFRESHÿcr.den;1;100;CO01;12;3;C;CO01 -012-03C;103882;1;1;1;0;B;1;26/09/2019;01/02/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P284;1;;ORAL-BÿWHITEÿBRILLIANTÿFRESHÿenj.bu;1;100;CO01;12;3;B;CO01 -012-03B;105414;1;22;22;0;B;1;16/10/2019;01/01/2021;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;49;2;C;CO01 -049-02C;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;51;2;C;CO01 -051-02C;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;51;2;B;CO01 -051-02B;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;49;2;B;CO01 -049-02B;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;55;2;A;CO01 -055-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;59;2;A;CO01 -059-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;49;2;A;CO01 -049-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;53;2;A;CO01 -053-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;57;2;A;CO01 -057-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P329;1;;DOVE BEAUTY FINISH DESO.x100gr (169;1;100;CO01;51;2;A;CO01 -051-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10335;
P332;1;;DOVEÿGOÿFRESHÿPEPINO/TEÿVERDEÿDESO.;1;100;CO01;66;2;A;CO01 -066-02A;104388;1;114;114;0;B;1;30/09/2019;01/03/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P332;1;;DOVEÿGOÿFRESHÿPEPINO/TEÿVERDEÿDESO.;1;100;CO01;62;2;B;CO01 -062-02B;;;0;0;0;B;1;/  /;01/03/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P335;1;;DOVEÿINVISIBLEÿDRYÿCOMPRIMIDOÿDESO.;1;100;CO01;68;2;A;CO01 -068-02A;104407;1;158;158;0;B;1;30/09/2019;01/04/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P336;1;;DOVEÿINVISIBLEÿDRYÿDESO.ROLL-ONÿx50;1;100;CO01;40;2;A;CO01 -040-02A;;;0;0;0;B;1;/  /;01/06/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P338;1;;DOVE INVISIBLE DRY MEN DESO.x89gr A;1;100;CO02;22;2;B;CO02 -022-02B;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;2;2;A;CO01 -002-02A;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;2;2;C;CO01 -002-02C;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;10;2;A;CO01 -010-02A;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;8;2;A;CO01 -008-02A;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;2;2;B;CO01 -002-02B;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;4;2;A;CO01 -004-02A;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P339;1;;DOVE ORIGINAL COMPRIMIDO DESO.x1u x;1;100;CO01;6;2;A;CO01 -006-02A;;;0;0;0;B;1;/  /;01/10/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P340;1;;DOVE ORIGINAL DESO.BARRA x50g;1;100;CO01;62;2;C;CO01 -062-02C;104386;1;31;31;0;B;1;30/09/2019;01/05/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;69;2;A;CO01 -069-02A;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;71;2;A;CO01 -071-02A;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;67;2;A;CO01 -067-02A;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;69;2;B;CO01 -069-02B;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;69;2;C;CO01 -069-02C;104329;1;94;94;0;B;1;27/09/2019;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P341;1;;DOVE ORIGINAL DESO.ROLL-ON x50ml A/;1;100;CO01;71;2;C;CO01 -071-02C;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P377;1;;REXONAÿWOMÿACTIVEÿEMOTIONÿCOMPRIMID;1;100;CO01;81;2;A;CO01 -081-02A;;;0;0;0;B;1;/  /;01/04/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P383;1;;REXONA WOM COTTON 24H DESO.ROLL-ON ;1;100;CO01;79;2;A;CO01 -079-02A;;;0;0;0;B;1;/  /;01/04/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P383;1;;REXONA WOM COTTON 24H DESO.ROLL-ON ;1;100;CO01;79;2;C;CO01 -079-02C;;;0;0;0;B;1;/  /;01/04/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P389;1;;REXONAÿWOMÿPOWDERÿCOMPRIMIDOÿDESO.x;1;100;CO01;70;2;A;CO01 -070-02A;104415;1;58;58;0;B;1;30/09/2019;01/04/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P392;1;;REXONAÿWOMÿSKINCAREÿDUALÿACTIONÿCAL;1;100;CO01;64;2;A;CO01 -064-02A;;;0;0;0;B;1;/  /;01/03/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P396;1;;REXONA ODORONO DESO.CR pote x60g;1;100;CO01;18;2;A;CO01 -018-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P396;1;;REXONA ODORONO DESO.CR pote x60g;1;100;CO01;16;2;A;CO01 -016-02A;;;0;0;0;B;1;/  /;01/05/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P398;1;;AXE APOLLO DESO.x150ml;1;100;CO02;53;2;A;CO02 -053-02A;;;0;0;0;B;1;/  /;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P399;1;;AXE APOLLO SECO DESO.x1u x152ml;1;100;CO02;14;2;A;CO02 -014-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P400;1;;AXE BLACK DESO.150ml A/T;1;100;CO02;61;2;C;CO02 -061-02C;;;0;0;0;B;1;/  /;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P400;1;;AXE BLACK DESO.150ml A/T;1;100;CO02;61;2;A;CO02 -061-02A;;;0;0;0;B;1;/  /;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P401;1;;AXE BLACK DESO.x1u x150ml (96gr);1;100;CO02;13;2;A;CO02 -013-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P401;1;;AXE BLACK DESO.x1u x150ml (96gr);1;100;CO02;15;2;A;CO02 -015-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P401;1;;AXE BLACK DESO.x1u x150ml (96gr);1;100;CO02;17;2;A;CO02 -017-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P401;1;;AXE BLACK DESO.X1U X150ML (96GR);1;100;CO02;11;2;B;CO02 -011-02B;;;0;0;0;B;1;/  /;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P401;1;;AXE BLACK DESO.x1u x150ml (96gr);1;100;CO02;11;2;A;CO02 -011-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P402;1;;AXE DARKTEMPTATION DESO.BS x93gr (1;1;100;CO02;43;2;A;CO02 -043-02A;104375;1;110;110;0;B;1;30/09/2019;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P403;1;;AXEÿDARKTEMPTATIONÿSECOÿ48HÿDESO.x9;1;100;CO02;89;2;B;CO02 -089-02B;104528;1;8;8;0;B;1;01/10/2019;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P407;1;;AXE MARINE DESO.x113gr (160ml);1;100;CO01;74;2;A;CO01 -074-02A;104382;1;168;168;0;B;1;30/09/2019;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P407;1;;AXE MARINE DESO.x113gr (160ml);1;100;CO01;76;2;A;CO01 -076-02A;104383;1;168;168;0;B;1;30/09/2019;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P407;1;;AXE MARINE DESO.x113gr (160ml);1;100;CO01;72;2;A;CO01 -072-02A;104384;1;25;25;0;B;1;30/09/2019;01/07/2022;DO;;10327;ORIEN S.A. - SAN BLAS
P413;1;;DOVEÿMENÿCAREÿCLEANÿCONFORTÿ48HÿDES;1;100;CO01;82;2;A;CO01 -082-02A;;;0;0;0;B;1;/  /;01/06/2022;DO;;10327;ORIEN S.A. - SAN BLAS
